open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1774450800000,71234.28000000,71301.37000000,71222.30000000,71266.66000000,38.07583000,1774451099999,2713212.15905530,15674,18.79155000,1339008.21855590,0
1774451100000,71266.67000000,71283.70000000,70900.00000000,70924.40000000,287.19954000,1774451399999,20405038.83490550,36059,83.26710000,5917404.79715060,0
1774451400000,70924.40000000,71026.08000000,70745.56000000,70825.25000000,186.31237000,1774451699999,13201887.05736490,30371,69.59234000,4932675.71575510,0
1774451700000,70825.25000000,70859.93000000,70530.47000000,70688.01000000,303.55781000,1774451999999,21443122.37771530,39019,74.01772000,5230679.15014560,0
1774452000000,70688.00000000,70968.00000000,70688.00000000,70934.82000000,120.82401000,1774452299999,8561957.22125730,23908,67.24619000,4764699.69413880,0
1774452300000,70934.81000000,71025.78000000,70904.46000000,71023.60000000,67.83393000,1774452599999,4813236.73776840,15901,24.24820000,1720817.75105610,0
1774452600000,71023.61000000,71093.72000000,70957.32000000,70968.29000000,98.64887000,1774452899999,7007251.56086780,18178,41.65398000,2958914.67815950,0
1774452900000,70968.29000000,70981.24000000,70824.71000000,70871.96000000,64.76945000,1774453199999,4592493.37241690,16491,29.73117000,2108199.85330650,0
1774453200000,70871.96000000,70907.70000000,70814.71000000,70878.43000000,51.03926000,1774453499999,3616323.92098310,14867,26.26432000,1860855.07556350,0
1774453500000,70878.43000000,70891.99000000,70776.26000000,70884.92000000,71.93966000,1774453799999,5096410.59275860,15054,25.38796000,1798578.34052600,0
1774453800000,70884.92000000,70951.47000000,70850.04000000,70888.60000000,54.74129000,1774454099999,3882108.74639940,12098,35.86728000,2543769.06084180,0
1774454100000,70888.60000000,70944.26000000,70825.52000000,70832.99000000,39.90394000,1774454399999,2827654.39020450,15961,11.92869000,845300.44135010,0
